@relation CMC-weka.filters.unsupervised.attribute.Remove-R5-9

@attribute W.Age numeric
@attribute W.Education {Low,MidLow,MidHigh,High}
@attribute H.Education {Low,MidLow,MidHigh,High}
@attribute Children numeric
@attribute MethodUsed {No-Use,Long-Term,Short-Term}

@data
37,High,High,2,Long-Term
20,MidHigh,High,1,Long-Term
45,High,High,7,Long-Term
28,MidLow,Low,2,Long-Term
33,MidLow,MidLow,3,Long-Term
28,MidLow,MidHigh,2,Long-Term
30,MidLow,High,1,Long-Term
32,High,High,4,Long-Term
48,High,MidHigh,7,Long-Term
46,High,High,2,Long-Term
32,High,High,2,Long-Term
49,High,High,10,Long-Term
33,MidLow,MidLow,6,Long-Term
39,High,High,3,Long-Term
35,High,High,5,Long-Term
36,High,High,3,Long-Term
20,MidHigh,High,1,Long-Term
23,High,High,1,Long-Term
26,MidLow,High,2,Long-Term
25,MidHigh,MidHigh,1,Long-Term
31,High,High,1,Long-Term
36,High,High,2,Long-Term
32,MidHigh,MidHigh,2,Long-Term
36,High,High,3,Long-Term
40,High,High,3,Long-Term
46,High,High,4,Long-Term
42,High,High,8,Long-Term
39,High,High,4,Long-Term
34,High,High,2,Long-Term
36,High,High,3,Long-Term
37,High,High,3,Long-Term
36,High,High,4,Long-Term
38,High,High,2,Long-Term
27,MidHigh,MidHigh,1,Long-Term
37,High,MidHigh,8,Long-Term
24,Low,High,1,Long-Term
42,MidLow,High,8,Long-Term
31,High,High,3,Long-Term
34,MidLow,MidHigh,2,Long-Term
34,High,High,4,Long-Term
36,High,High,4,Long-Term
47,High,High,8,Long-Term
34,High,High,3,Long-Term
44,High,High,6,Long-Term
21,High,High,1,Long-Term
42,High,High,6,Long-Term
44,High,High,4,Long-Term
19,High,High,1,Long-Term
35,Low,MidHigh,7,Long-Term
24,High,High,1,Long-Term
32,MidHigh,High,7,Long-Term
31,MidHigh,MidHigh,2,Long-Term
47,MidHigh,High,11,Long-Term
38,High,High,6,Long-Term
40,High,High,4,Long-Term
35,MidHigh,MidHigh,4,Long-Term
26,MidHigh,High,3,Long-Term
23,High,MidHigh,3,Long-Term
40,High,High,6,Long-Term
37,High,High,3,Long-Term
39,High,High,5,Long-Term
25,High,High,2,Long-Term
48,High,High,4,Long-Term
31,High,High,3,Long-Term
26,High,High,1,Long-Term
44,High,High,5,Long-Term
29,High,High,1,Long-Term
36,MidLow,Low,6,Long-Term
29,High,High,2,Long-Term
37,MidLow,MidHigh,7,Long-Term
28,MidHigh,MidHigh,3,Long-Term
40,MidLow,MidHigh,6,Long-Term
33,High,High,4,Long-Term
22,High,High,1,Long-Term
35,MidHigh,High,5,Long-Term
32,High,High,3,Long-Term
35,High,High,5,Long-Term
29,High,High,2,Long-Term
23,MidHigh,MidHigh,2,Long-Term
35,High,High,2,Long-Term
36,High,High,3,Long-Term
32,High,High,2,Long-Term
30,High,Low,4,Long-Term
36,High,High,4,Long-Term
33,High,High,3,Long-Term
33,MidHigh,High,5,Long-Term
43,MidLow,High,13,Long-Term
35,MidHigh,MidHigh,6,Long-Term
38,High,High,5,Long-Term
25,MidHigh,Low,4,Long-Term
26,MidHigh,MidHigh,2,Long-Term
24,High,High,1,Long-Term
22,MidHigh,High,1,Long-Term
33,MidLow,MidHigh,5,Long-Term
45,MidHigh,MidHigh,7,Long-Term
29,High,High,2,Long-Term
47,MidLow,MidLow,7,Long-Term
36,MidHigh,MidLow,6,Long-Term
45,MidHigh,MidHigh,8,Long-Term
47,High,High,6,Long-Term
43,MidHigh,High,2,Long-Term
44,High,High,7,Long-Term
24,MidLow,High,2,Long-Term
28,High,High,2,Long-Term
34,High,High,5,Long-Term
31,MidHigh,High,4,Long-Term
27,High,High,3,Long-Term
27,MidHigh,MidHigh,1,Long-Term
26,High,High,1,Long-Term
36,MidHigh,High,7,Long-Term
35,High,High,4,Long-Term
38,High,High,6,Long-Term
44,High,High,7,Long-Term
25,High,High,1,Long-Term
25,High,High,2,Long-Term
41,High,High,4,Long-Term
41,MidHigh,High,5,Long-Term
24,High,High,1,Long-Term
33,High,High,3,Long-Term
29,High,High,3,Long-Term
47,High,High,4,Long-Term
28,High,High,4,Long-Term
21,MidLow,MidLow,1,Long-Term
32,MidHigh,MidHigh,6,Long-Term
30,MidHigh,High,2,Long-Term
37,High,High,5,Long-Term
29,High,MidHigh,4,Long-Term
38,High,High,3,Long-Term
49,MidHigh,MidHigh,11,Long-Term
41,MidHigh,MidHigh,5,Long-Term
43,MidHigh,High,5,Long-Term
47,Low,Low,10,Long-Term
22,High,High,1,Long-Term
27,High,High,1,Long-Term
34,MidHigh,High,2,Long-Term
42,MidHigh,MidHigh,4,Long-Term
39,High,High,3,Long-Term
36,High,High,3,Long-Term
21,High,High,1,Long-Term
36,MidHigh,High,4,Long-Term
25,MidLow,MidHigh,1,Long-Term
41,High,High,4,Long-Term
32,High,High,4,Long-Term
41,High,High,4,Long-Term
43,High,High,3,Long-Term
35,High,High,3,Long-Term
24,High,High,2,Long-Term
43,High,High,6,Long-Term
48,High,High,7,Long-Term
28,High,High,2,Long-Term
24,High,High,1,Long-Term
42,High,High,3,Long-Term
39,High,High,3,Long-Term
24,High,High,1,Long-Term
33,High,MidHigh,5,Long-Term
29,High,High,2,Long-Term
44,High,High,5,Long-Term
17,High,High,1,Long-Term
35,MidHigh,High,3,Long-Term
32,MidHigh,High,5,Long-Term
27,High,High,2,Long-Term
44,High,High,4,Long-Term
42,High,High,5,Long-Term
40,High,High,6,Long-Term
44,High,High,3,Long-Term
33,High,High,5,Long-Term
35,MidLow,High,3,Long-Term
31,High,MidLow,2,Long-Term
37,High,High,3,Long-Term
45,High,High,3,Long-Term
26,High,High,2,Long-Term
40,MidHigh,High,2,Long-Term
30,High,High,1,Long-Term
36,MidHigh,High,3,Long-Term
33,MidHigh,High,3,Long-Term
41,High,High,5,Long-Term
45,MidHigh,MidHigh,6,Long-Term
48,High,High,6,Long-Term
35,High,High,3,Long-Term
37,High,High,4,Long-Term
46,High,High,3,Long-Term
38,High,High,4,Long-Term
30,MidHigh,High,7,Long-Term
42,High,MidHigh,7,Long-Term
35,MidLow,MidLow,6,Long-Term
34,High,High,6,Long-Term
37,High,High,4,Long-Term
38,High,High,6,Long-Term
30,MidHigh,MidHigh,2,Long-Term
46,High,High,4,Long-Term
31,High,High,3,Long-Term
41,High,High,6,Long-Term
41,High,High,7,Long-Term
32,High,High,2,Long-Term
44,High,High,4,Long-Term
39,High,High,4,Long-Term
39,High,High,5,Long-Term
45,High,High,4,Long-Term
33,High,High,3,Long-Term
39,High,High,3,Long-Term
44,High,High,3,Long-Term
34,MidHigh,MidHigh,6,Long-Term
33,MidHigh,MidHigh,5,Long-Term
34,MidLow,MidLow,8,Long-Term
27,MidHigh,MidLow,5,Long-Term
47,Low,Low,8,Long-Term
25,MidLow,High,3,Long-Term
24,MidHigh,High,5,Long-Term
41,High,High,4,Long-Term
29,MidHigh,MidHigh,4,Short-Term
27,MidLow,MidLow,5,Short-Term
40,MidHigh,High,5,Short-Term
30,MidLow,MidLow,6,Short-Term
24,High,High,1,Short-Term
36,High,High,2,Short-Term
17,MidLow,MidLow,1,Short-Term
28,Low,MidLow,4,Short-Term
27,MidLow,High,1,Short-Term
21,MidHigh,MidHigh,1,Short-Term
30,MidLow,MidLow,4,Short-Term
48,High,High,16,Short-Term
29,MidLow,High,3,Short-Term
29,High,High,2,Short-Term
20,MidHigh,High,2,Short-Term
28,High,High,1,Short-Term
32,MidLow,MidHigh,5,Short-Term
27,MidHigh,MidHigh,1,Short-Term
25,MidLow,MidHigh,1,Short-Term
43,High,High,3,Short-Term
35,High,High,2,Short-Term
30,High,High,1,Short-Term
29,Low,High,3,Short-Term
33,MidHigh,High,8,Short-Term
37,MidHigh,High,5,Short-Term
27,MidLow,High,3,Short-Term
33,MidLow,High,3,Short-Term
35,MidLow,MidHigh,6,Short-Term
20,MidHigh,MidHigh,2,Short-Term
26,MidLow,High,3,Short-Term
24,MidHigh,MidHigh,2,Short-Term
45,Low,MidHigh,3,Short-Term
34,MidHigh,High,4,Short-Term
49,High,MidHigh,13,Short-Term
33,High,High,5,Short-Term
33,MidHigh,MidHigh,8,Short-Term
24,MidHigh,High,3,Short-Term
30,MidLow,MidLow,4,Short-Term
27,MidLow,High,4,Short-Term
23,High,MidHigh,1,Short-Term
35,High,High,4,Short-Term
35,High,High,1,Short-Term
40,High,High,2,Short-Term
29,MidHigh,MidHigh,1,Short-Term
33,MidHigh,MidHigh,3,Short-Term
36,High,High,6,Short-Term
36,High,High,4,Short-Term
41,High,High,1,Short-Term
38,MidHigh,High,3,Short-Term
29,MidLow,High,3,Short-Term
19,High,High,1,Short-Term
34,MidLow,MidHigh,2,Short-Term
26,MidLow,High,3,Short-Term
22,High,High,1,Short-Term
42,High,High,7,Short-Term
27,MidHigh,High,2,Short-Term
27,High,High,2,Short-Term
39,High,MidHigh,1,Short-Term
21,High,High,1,Short-Term
36,MidLow,MidHigh,7,Short-Term
29,Low,MidLow,5,Short-Term
29,MidLow,MidHigh,4,Short-Term
22,MidHigh,MidLow,2,Short-Term
20,MidLow,MidHigh,1,Short-Term
33,MidHigh,High,4,Short-Term
27,MidHigh,MidHigh,3,Short-Term
25,High,High,3,Short-Term
25,High,MidHigh,2,Short-Term
32,MidLow,MidHigh,4,Short-Term
39,MidHigh,High,2,Short-Term
31,MidHigh,MidHigh,3,Short-Term
26,High,High,4,Short-Term
30,MidHigh,MidHigh,7,Short-Term
43,MidHigh,MidHigh,5,Short-Term
34,MidLow,High,4,Short-Term
43,High,High,3,Short-Term
32,High,High,3,Short-Term
41,High,High,5,Short-Term
32,High,High,3,Short-Term
46,High,High,4,Short-Term
40,MidHigh,High,3,Short-Term
21,High,High,1,Short-Term
32,High,High,3,Short-Term
25,High,High,1,Short-Term
24,High,High,1,Short-Term
21,MidLow,MidHigh,1,Short-Term
22,High,High,1,Short-Term
32,High,High,4,Short-Term
30,High,High,2,Short-Term
25,Low,MidLow,2,Short-Term
31,MidHigh,MidHigh,6,Short-Term
19,MidLow,High,1,Short-Term
33,MidLow,MidLow,7,Short-Term
24,MidLow,MidLow,2,Short-Term
19,MidHigh,MidHigh,3,Short-Term
27,MidLow,MidLow,5,Short-Term
32,High,High,2,Short-Term
32,High,High,2,Short-Term
29,Low,MidHigh,5,Short-Term
23,MidHigh,High,1,Short-Term
34,MidLow,High,7,Short-Term
27,MidLow,High,1,Short-Term
37,High,High,4,Short-Term
26,MidHigh,High,4,Short-Term
31,MidLow,MidHigh,7,Short-Term
44,High,High,11,Short-Term
35,MidHigh,High,4,Short-Term
23,High,High,2,Short-Term
24,MidLow,High,2,Short-Term
24,High,High,2,Short-Term
39,High,High,3,Short-Term
33,MidHigh,High,4,Short-Term
24,MidLow,MidHigh,2,Short-Term
35,High,High,4,Short-Term
35,High,High,6,Short-Term
34,High,High,2,Short-Term
48,MidHigh,High,3,Short-Term
28,High,High,1,Short-Term
26,High,High,1,Short-Term
43,MidHigh,MidHigh,8,Short-Term
28,MidLow,MidLow,5,Short-Term
22,MidHigh,High,3,Short-Term
26,MidHigh,MidHigh,3,Short-Term
30,MidHigh,High,4,Short-Term
38,High,High,5,Short-Term
44,High,High,8,Short-Term
25,High,High,1,Short-Term
34,High,High,3,Short-Term
26,High,High,3,Short-Term
20,High,High,2,Short-Term
39,High,High,2,Short-Term
27,MidHigh,High,4,Short-Term
32,High,High,2,Short-Term
48,MidHigh,High,8,Short-Term
39,High,MidHigh,4,Short-Term
37,High,High,3,Short-Term
33,High,High,2,Short-Term
32,High,High,3,Short-Term
25,High,High,2,Short-Term
37,High,High,3,Short-Term
40,High,High,4,Short-Term
38,High,High,6,Short-Term
36,High,High,4,Short-Term
27,MidHigh,MidHigh,3,Short-Term
22,Low,MidHigh,2,Short-Term
22,MidLow,MidLow,2,Short-Term
30,MidHigh,High,3,Short-Term
20,MidLow,MidLow,2,Short-Term
34,High,High,2,Short-Term
31,MidHigh,High,5,Short-Term
30,MidHigh,MidHigh,3,Short-Term
44,MidHigh,High,5,Short-Term
24,MidHigh,MidHigh,3,Short-Term
19,High,High,2,Short-Term
28,High,High,5,Short-Term
27,High,High,1,Short-Term
29,MidHigh,MidHigh,3,Short-Term
37,High,High,3,Short-Term
32,MidLow,MidLow,8,Short-Term
21,MidLow,MidLow,1,Short-Term
33,MidLow,MidHigh,7,Short-Term
23,MidLow,MidHigh,2,Short-Term
36,MidLow,MidLow,5,Short-Term
33,MidLow,High,3,Short-Term
35,High,High,2,Short-Term
25,MidLow,MidHigh,4,Short-Term
29,MidLow,High,4,Short-Term
23,MidHigh,MidHigh,1,Short-Term
19,MidHigh,MidHigh,1,Short-Term
35,Low,MidLow,6,Short-Term
25,MidHigh,MidHigh,3,Short-Term
40,MidHigh,High,6,Short-Term
17,MidHigh,High,1,Short-Term
25,MidLow,High,3,Short-Term
24,MidHigh,MidHigh,1,Short-Term
23,High,High,1,Short-Term
25,MidLow,High,3,Short-Term
30,Low,MidHigh,4,Short-Term
31,Low,Low,3,Short-Term
26,MidHigh,High,2,Short-Term
